masked_text,relation_type
"Several studies have suggested that different BAs profiles are closely related to obesity. It was reported that 12-hydroxylated (12-OH) BAs such as CA and DCA increase obesity susceptibility, while non-12-OH BAs such as CDCA, UDCA and LCA reduce obesity susceptibility. Mice with higher levels of @Chemical$ gained weight slowly and had less metabolic disturbance, while the rapidly gaining weight mice had significantly lower levels of non-12-OH BAs such as UDCA. UDCA intake significantly reduced weight gain and metabolic disturbances induced by high-fat diet. Another study also provided evidence that a high-fat diet caused obesity by increasing the levels of 12-OH BAs. In a rat model, high-fat diet caused increases in the total BAs, DCA and taurodeoxycholic acid (@Chemical$) in plasma and liver tissues, and increases in DCA in intestinal tissues and feces. Therefore, changing the proportion of 12-OH BAs and non-12-OH BAs may have an impact on the risk of obesity.",None
"Several studies have suggested that different BAs profiles are closely related to obesity. It was reported that 12-hydroxylated (12-OH) BAs such as CA and DCA increase obesity susceptibility, while non-12-OH BAs such as CDCA, UDCA and LCA reduce obesity susceptibility. Mice with higher levels of non-12-OH BAs gained weight slowly and had less metabolic disturbance, while the rapidly gaining weight mice had significantly lower levels of non-12-OH BAs such as UDCA. UDCA intake significantly reduced weight gain and metabolic disturbances induced by high-fat diet. Another study also provided evidence that a high-fat diet caused obesity by increasing the levels of 12-OH BAs. In a rat model, high-fat diet caused increases in the total @Chemical$, DCA and taurodeoxycholic acid (TDCA) in plasma and liver tissues, and increases in DCA in intestinal tissues and @Chemical$. Therefore, changing the proportion of 12-OH BAs and non-12-OH BAs may have an impact on the risk of obesity.",None
"Several studies have suggested that different BAs profiles are closely related to obesity. It was reported that 12-hydroxylated (12-OH) BAs such as CA and DCA increase obesity susceptibility, while non-12-OH BAs such as CDCA, UDCA and LCA reduce obesity susceptibility. Mice with higher levels of non-12-OH BAs gained weight slowly and had less metabolic disturbance, while the rapidly gaining weight @Species$ had significantly lower levels of non-12-OH BAs such as UDCA. UDCA intake significantly reduced weight gain and metabolic disturbances induced by high-fat diet. Another study also provided evidence that a high-fat diet caused obesity by increasing the levels of 12-OH BAs. In a @Species$ model, high-fat diet caused increases in the total BAs, DCA and taurodeoxycholic acid (TDCA) in plasma and liver tissues, and increases in DCA in intestinal tissues and feces. Therefore, changing the proportion of 12-OH BAs and non-12-OH BAs may have an impact on the risk of obesity.",None
"Several studies have suggested that different BAs profiles are closely related to obesity. It was reported that 12-hydroxylated (12-OH) BAs such as @Chemical$ and DCA increase obesity susceptibility, while non-12-OH BAs such as CDCA, UDCA and LCA reduce obesity susceptibility. Mice with higher levels of non-12-OH BAs gained weight slowly and had less metabolic disturbance, while the rapidly gaining weight mice had significantly lower levels of non-12-OH BAs such as UDCA. UDCA intake significantly reduced weight gain and metabolic disturbances induced by high-fat diet. Another study also provided evidence that a high-fat diet caused obesity by increasing the levels of 12-OH BAs. In a rat model, high-fat diet caused increases in the total BAs, DCA and taurodeoxycholic acid (TDCA) in plasma and @Cellline$, and increases in DCA in intestinal tissues and feces. Therefore, changing the proportion of 12-OH BAs and non-12-OH BAs may have an impact on the risk of obesity.",None
"It remains unclear how the gut microbiota and BAs profiles interact with each other and whether the interaction is associated with obesity. @Species$ fed BAs exhibited obesity and a composition change in the obesity-associated gut microbiota, which is similar to high-fat diet-fed mice. Under a high-fat diet, the concentration of intestinal BAs increases, and the composition of gut microbiota alternates. For example, the increased BAs are the main reason for the marked increase in the abundance of the Firmicutes to Bacteroidetes ratio. Another study has shown that BAs and a high-fat diet promote the growth of Bilophila wadsworthia in mice, and secondary BAs produced by Bilophila spp. have been shown to induce obesity. What's more, it has been reported that the low capacity of microbiota to metabolize Tauro-beta-muricholic acid, a primary BA, might increase the risk of obesity and insulin resistance. Therefore, BAs profiles affect the composition of gut microbiota, and gut microbiota also regulates the production and ratio of different BAs to play an important role in @Disease$ susceptibility.",None
"It remains unclear how the gut microbiota and @Chemical$ profiles interact with each other and whether the interaction is associated with obesity. Mice fed BAs exhibited obesity and a composition change in the obesity-associated gut microbiota, which is similar to high-fat diet-fed @Species$. Under a high-fat diet, the concentration of intestinal BAs increases, and the composition of gut microbiota alternates. For example, the increased BAs are the main reason for the marked increase in the abundance of the Firmicutes to Bacteroidetes ratio. Another study has shown that BAs and a high-fat diet promote the growth of Bilophila wadsworthia in mice, and secondary BAs produced by Bilophila spp. have been shown to induce obesity. What's more, it has been reported that the low capacity of microbiota to metabolize Tauro-beta-muricholic acid, a primary BA, might increase the risk of obesity and insulin resistance. Therefore, BAs profiles affect the composition of gut microbiota, and gut microbiota also regulates the production and ratio of different BAs to play an important role in obesity susceptibility.",None
"It remains unclear how the gut microbiota and @Chemical$ profiles interact with each other and whether the interaction is associated with obesity. Mice fed BAs exhibited obesity and a composition change in the obesity-associated gut microbiota, which is similar to high-fat diet-fed mice. Under a high-fat diet, the concentration of intestinal BAs increases, and the composition of gut microbiota alternates. For example, the increased BAs are the main reason for the marked increase in the abundance of the Firmicutes to Bacteroidetes ratio. Another study has shown that BAs and a high-fat diet promote the growth of Bilophila wadsworthia in mice, and secondary BAs produced by Bilophila spp. have been shown to induce obesity. What's more, it has been reported that the low capacity of microbiota to metabolize Tauro-beta-muricholic acid, a primary BA, might increase the risk of obesity and insulin resistance. Therefore, BAs profiles affect the composition of gut microbiota, and gut microbiota also regulates the production and ratio of different BAs to play an important role in @Disease$ susceptibility.",None
"It remains unclear how the gut microbiota and BAs profiles interact with each other and whether the interaction is associated with obesity. Mice fed BAs exhibited obesity and a composition change in the obesity-associated gut microbiota, which is similar to high-fat diet-fed mice. Under a high-fat diet, the concentration of intestinal BAs increases, and the composition of gut microbiota alternates. For example, the increased BAs are the main reason for the marked increase in the abundance of the Firmicutes to Bacteroidetes ratio. Another study has shown that BAs and a high-fat diet promote the growth of Bilophila wadsworthia in mice, and secondary BAs produced by Bilophila spp. have been shown to induce obesity. What's more, it has been reported that the low capacity of microbiota to metabolize @Chemical$, a primary BA, might increase the risk of obesity and insulin resistance. Therefore, BAs profiles affect the composition of gut microbiota, and @Species$ also regulates the production and ratio of different BAs to play an important role in obesity susceptibility.",None
"Additionally, studies have also demonstrated that BAs reduce obesity susceptibility by increasing the expression and activity of @Species$ (UCP1) and increasing energy expenditure by GLP-1. For instance, BAs increased the expression of UCP1 in brown adipocytes via @Species$ to enhance the release of GLP-1. Thus, there is an interrelated complex relationship between BAs and obesity. It is essential to assess the role of changes in the composition of BAs in the downstream signaling pathways of the host receptors to gain a greater mechanistic understanding of obesity susceptibility.",None
"Additionally, studies have also demonstrated that BAs reduce obesity susceptibility by increasing the expression and activity of uncoupling protein 1 (UCP1) and increasing energy expenditure by GLP-1. For instance, @Chemical$ increased the expression of UCP1 in brown adipocytes via TGR5 to enhance the release of GLP-1. Thus, there is an interrelated complex relationship between @Chemical$ and obesity. It is essential to assess the role of changes in the composition of BAs in the downstream signaling pathways of the host receptors to gain a greater mechanistic understanding of obesity susceptibility.",None
