original_text,annotation_id,from_entity,to_entity,from_entity_name,from_entity_start,from_entity_end,from_entity_label,to_entity_start,to_entity_end,to_entity_name,to_entity_label,relation_type
"BAs, as by-products of cholesterol metabolism, are the main organic component of bile and are synthesized in hepatocytes. Cholic acid (CA) and chenodeoxycholic acid (CDCA) are primary BAs directly synthesized from cholesterol; secondary BAs include deoxycholic acid (DCA), lithocholic acid (LCA), ursodeoxycholic acid (UDCA) and their glycine and taurine conjugated forms. BAs are excreted into the intestine to aid in the digestion and absorption of lipids and combine with farnesoid X receptor (FXR) and takeda-G-protein receptor 5 (TGR5) (Fig. 2). There is a strong biochemical relationship between BAs and gut microbiota. Some gut microbiota in healthy people can convert conjugated BAs into free BAs, and can transform BAs into secondary BAs with the help of bile salt hydrolase (BSH) and cholesterol 7-alpha hydroxy-lase (CYP7A1), so as to reduce blood cholesterol by affecting the enterohepatic circulation of BAs. Besides, the gut microbiota affects the metabolism of BAs by regulating the activity of BSH to reduce LDL cholesterol levels. BAs have bacteriostatic properties and an antimicrobial effect. BAs destroy the integrity of the bacterial cell membrane and thereby change the intestinal microecology. BAs also prevent bacteria from overgrowth and decrease inflammation. More importantly, BAs are also closely associated with CVDs. For example, BAs levels in the feces of patients with CVDs are different from those in healthy individuals. And BAs have been reported to regulate vascular tension and affect ion exchange on cardiomyocyte membranes, suggesting that regulating BAs by gut microbiota might be a treatment for CVDs.",17301489.0,WfP-qnxsYC,866,BAs,373.0,376.0,Chemical,451.0,457.0,lipids,Chemical,affects
"The PD microbiome has a diminished variety of bacterial taxonomic groups, especially the ones associated with anti-inflammatory and neuroprotective effects and the increase of phyla, which has toxic effects. Predominantly, the reduction was observed in the Lachnospiraceae family, including Butyrivibrio, Pseudobutyrivibrio, Coprococcus, Blautia and SCFAs-producing Prevotellaceae. The increased amount of Enterobacteriaceae is linked to the severity of postural instability and walking difficulties. Moreover, the PD microbiome is characterised by increased Akkermansia and Bifidobacterium species and decreased amount of Faecalibacterium and Lachnospiraceae. The overgrowth of Akkermansia spp. in PD patients may be strain-specific and can be related to immune-response alterations, decreased mucus thicknesses, and increased constipation. Faecalibacterium family is a crucial player producing SCFAs and anti-inflammatory metabolites, maintaining gut health. Faecalibacterium balance disturbances can lead to impaired gut-barrier function, increasing the risk of infection with enteric pathogens and boosting alpha-synuclein formation. Similarly, the Lachnospiraceae family can produce butyrate, important for the proper function of the gut epithelium. Decreased Lachnospiraceae quantity might aggravate gut inflammation, stimulate toxin production, and damage the integrity of the gut epithelial barrier. PD patients' intestinal microflora were characterised by a diminished abundance of Lachnospiraceae, which was positively correlated with PD progress, cognitive decline, and impaired motor functions. These microbiome's compositional changes correlate well with some metabolic switches. PD microbiota show reduced SCFAs production, decreased carbohydrate fermentation, and augmented proteolytic fermentation. Chen et al. demonstrated that the SCFA level was relevant to microbiota composition changes and the clinical severity of PD. The levels of SCFAs acetate, butyrate, and propionate in fecal samples of PD patients were significantly reduced, contrary to their elevated concentration in plasma. Rodent models of PD disease have shown a positive effect of SCFAs on behavior and PD symptoms. Butyrate, as a histone deacetylase inhibitor, exerts neuroprotective activity, reducing dopaminergic cell death, and motor impairment, and improving cognitive functions. Taken together, SCFAs play an important role in protection from PD disease and could be proposed as representative gut-oriented indicators for diversifying individuals with PD and placing disease progression.",16553034.0,HIbG6Q3d9d,lQePDhw-O_,Lachnospiraceae,1265.0,1280.0,Species,1334.0,1350.0,toxin production,Disease,Negative_correlation
"Experimental research confirms the hypothesis regarding SCFA reduction in autoimmune diseases (MS among others) and altered gut microbiota. A low level of SCFAs dysregulates Treg cell functions, leading to insufficient immune tolerance towards endogenous components and enteric microbiota. However, this process can be reversed by SCFAs supplementation (e.g., propionic acid). Furthermore, research results indicated that MS is also connected with intestinal permeability disruption and the altered metabolism of bile acids, causing the dysregulation of the immune and nervous systems. Bile acids can act as CNS inflammatory signalling modulators, e.g., ursodeoxycholic acid can exert microglia inflammatory-inhibiting activity. Moreover, tauroursodeoxycholic acid (TUDCA) can direct microglia phenotypes towards an anti-inflammatory state, reducing NFkappaB activation and exerting a neuroprotective effect both in the mouse model of acute neuroinflammation and on microglial cells in vitro. TUDCA binds to the G protein-coupled bile acid receptor 1/Takeda G protein-coupled receptor 5 (GPBAR1/TGR5) expressed in microglial cells. This binding follows an increased level of microglial intracellular cyclic adenosine monophosphate (cAMP), inducing the release of the anti-inflammatory cytokines and chemokines (e.g., IL-4Ralpha, IL-10, IL-1 receptor-associated kinase-M IRAK-M, programmed cell death ligand 1 PD-L1, and sphingosine kinase 1 Sphk1) and reducing the ones with pro-inflammatory activity (ionised calcium-binding adapter molecule 1 Iba-1, inducible nitric oxide synthase iNOS). Experimental results demonstrated that TUDCA acted as a double-edged sword, triggering microglia enhancement in anti-inflammatory and alternatively activated markers and on the other hand reducing the infiltration of macrophages and microglia with expressed pro-inflammatory markers. Interestingly, during neuroinflammation, microglial cells change their morphology, converting themselves into reactive macrophage-like forms. However, microglial cells are flexible, as they can sometimes polarize towards alternatively activated phenotypes, promoting CNS pathologies (proinflammatory or M1 microglia), or exert anti-inflammatory effects, boosting cell repair and remodeling. Bile acids were identified as nuclear hormone receptor farnesoid X receptor agonists, leading to experimental autoimmune encephalomyelitis (EAE) depletion (in a mouse model) and neuroinflammatory process adjustment. The administration of the complex probiotic positively influenced the intestinal flora balance in patients diagnosed with MS. The probiotic prevented the onset of dysbiosis, significantly increasing the amount of Methanobrevibacter and Akkermansia, Prevotella, and Sutterella in MS patients, influencing gene expression and the production of beneficial bacterial metabolites.",16224291.0,-fD-BdANaE,1288,probiotic,2612.0,2621.0,Species,2645.0,2654.0,dysbiosis,Disease,prevents
Human Gut Microbiota from Autism Spectrum Disorder Promote Behavioral Symptoms in Mice,18115109.0,fMA9CBv0sr,2513,Autism Spectrum Disorder,26.0,50.0,Disease,0.0,20.0,Human Gut Microbiota,Species,affects
"The Effects of Probiotics and Prebiotics on Mental Disorders: A Review on Depression, Anxiety, Alzheimer, and Autism Spectrum Disorders",18391289.0,2653,2656,Mental Disorders,44.0,60.0,Disease,95.0,104.0,Alzheimer,Disease,None
"Schizophrenia is a severe neuropsychological disorder affecting approximately 1% of the world's population. 16S rRNA sequencing and diversity analyses of the fecal-derived microbiota obtained from patients suffering from schizophrenia indicated lower microbiome diversity. Performed analyses revealed the abundance of Proteobacteria and decreased amount of SCFAs synthesizing bacteria from Blautia, Coprococcus, and Roseburia species. It has been reported that butyrate and other SCFAs can cross the gastrointestinal endothelium and can pass through the BBB (exploiting active membrane transporters) and inhibit histone deacetylase 1 (HDAC1). Abnormal microbiota can lead to reduced levels of butyrate and can cause the elevation of HDAC1 levels in the prefrontal cortex and hippocampus of patients with diagnosed schizophrenia, causing altered DNA methylation, impaired synaptic plasticity and short-term memory, and the development of impaired cognitive function and social abilities.",16212573.0,1521,p3uIKwG0UX,HDAC1,733.0,738.0,Gene,862.0,890.0,impaired synaptic plasticity,Disease,Associated_with
"Additionally, studies have also demonstrated that BAs reduce obesity susceptibility by increasing the expression and activity of uncoupling protein 1 (UCP1) and increasing energy expenditure by GLP-1. For instance, BAs increased the expression of UCP1 in brown adipocytes via TGR5 to enhance the release of GLP-1. Thus, there is an interrelated complex relationship between BAs and obesity. It is essential to assess the role of changes in the composition of BAs in the downstream signaling pathways of the host receptors to gain a greater mechanistic understanding of obesity susceptibility.",18113543.0,FnRu1zVKuB,1651,BAs,215.0,218.0,Chemical,247.0,251.0,UCP1,Species,increase
"Besides the propagation of an inflammatory state, microbial endotoxins are probably involved in AD's inflammatory amyloidosis. Metagenomics analysis showed that patients suffering from cognitive dysfunctions related to amyloidosis demonstrated elevated amounts of pro-inflammatory cytokines and neurotoxic compounds. In these patients, increased inflammation was probably related to Eubacterium deficiency, and an overabundance of gram-negative Escherichia and Shigella species, which are known amyloid producers. They manufacture ""curli"" amyloid fibers, accumulated extracellularly through an elaborated system. Further studies revealed that the overproduction of Abeta plaques is correlated with excessive growth of Escherichia coli, Bacillus subtilis, Klebsiella pneumoniae, Mycobacterium and Salmonella, Staphylococcus aureus, and Streptococcus spp.. Galloway et al. found Abeta in small intestine epithelial cells, suggesting that gut-derived amyloids could be absorbed and finally reach systemic circulation, where they can act as pro-inflammatory factors and trigger fibrillogenesis. Additionally, it was shown that amyloids generated by microbes can influence IL-17A and IL-22 proinflammatory cytokines production, considered as a key players in NFkappaB signaling, both associated with AD and capable of crossing the BBB and GI tract.",16171393.0,700,701,inflammation,346.0,358.0,Disease,395.0,405.0,deficiency,Disease,possible
"Recent studies underlined the important role of the gut microbiota in bidirectional crosstalk in Huntington's disease (HD). Huntington's disease has genetic origins related to trinucleotide expansion (CAG) in the huntingtin coding gene. Moreover, experiments performed in mice models revealed that the altered microbiota observed in the HD-suffering individuals at the pre-motor symptomatic stage highly influence health status. HD microbiota composition indicated dysbiosis, disturbances in cytokine levels, and an increase in sulphur metabolism characterized by hydrogen sulphide overproduction and negatively influencing gut health. Ultimately, the gut dysbiosis state was also described in a transgenic mice model representing Huntington's disease. Kong et al. found increased Bacteroidetes and decreased Firmicutes levels in a R6/1 transgenic mice model. In this study, dysbiosis was followed by body weight deterioration, gastrointestinal motility problems, and the loss of motor ability. Subsequent studies performed by the same group revealed the negative correlation between Blautia producta and butyrate production. Moreover, Prevotella scopos was negatively associated with ATP levels. Clinical trials performed on patients suffering from Huntington's disease revealed the prevalence of bacterial phyla belonging to Firmicutes (83%), Actinobacteria (9%), Bacteroidetes (4%), and Verrucomicrobia (1.1%) detected in the collected fecal samples. The results of performed human randomized clinical trials positively correlate with the data obtained in mouse models in which gut microbiota dysbiosis was observed. A Huntington's mouse model revealed endocrine hormonal abnormalities, improper intestinal morphology (decreased mucosal thickness, and villus length), and damaged neuropeptide production.",17042058.0,1409,1433,hydrogen sulphide,564.0,581.0,Chemical,1479.0,1484.0,human,Species,None
"It has been proven that risk factors for civilization diseases such as stroke and cardiovascular diseases are also associated with the diversity of the intestinal flora. The abovementioned factors comprise atherosclerosis and hypertension. Moreover, the dysregulation of microbiota was observed in patients with stroke together with increased plasma and urinary concentrations of the proatherosclerotic gut bacterial metabolite trimethylamine N-oxide (TMAO), also co-responsible for the development of cardiovascular diseases (atherosclerotic coronary artery disease among others), AD, and gestational diabetes. TMAO is produced from dietary phosphatidylcholine by the intestinal microbiota. Preclinical models of cerebral ischemia indicate the coexistence of pathological microflora which negatively affect intestinal permeability and motility. Some reported experimental results indicate the relationship of intestinal microbiota with neuroinflammatory processes by modulating intestinal T-cell trafficking to the CNS. Animal models of cerebral ischemia-reperfusion injury clearly pointed out the beneficial, neuroprotective effect of the administration of a probiotic containing the Clostridium butyricum bacterial strain on the prognosis of animals after a stroke.",16214272.0,1659,1656,hypertension,226.0,238.0,Disease,71.0,77.0,stroke,Disease,part_of
